label,z,x,y,area,mean_intensity_0,mean_intensity_1,mean_intensity_2,mean_intensity_3,cell_type,color,legend
86,1.0,54.0,987.0,324.0,1216.5524691358025,36.4537037037037,30.787037037037038,281.89197530864203,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
87,6.0,57.0,120.0,1734.0,947.3027681660899,24.098615916955012,39.06516724336794,266.0997693194925,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
88,8.0,60.0,687.0,2312.0,751.5856401384082,38.60423875432526,65.63321799307958,200.42863321799308,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
89,1.0,57.0,694.0,363.0,1578.7162534435265,49.33057851239669,166.5840220385675,230.86225895316804,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
90,3.0,61.0,829.0,2407.0,924.8716244287494,45.535521395928534,44.42002492729539,204.4478604071458,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
91,9.0,57.0,761.0,2465.0,1352.877079107505,45.319269776876276,33.57687626774848,335.7160243407708,4,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)",4
92,2.0,58.0,51.0,503.0,1055.7335984095428,28.02584493041749,46.568588469184895,292.1829025844932,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
93,3.0,60.0,165.0,1309.0,1023.492742551566,32.01680672268908,72.7379679144385,345.1191749427044,4,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)",4
94,7.0,57.0,723.0,1282.0,1553.2098283931355,49.8377535101404,72.204368174727,347.333073322933,4,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)",4
95,1.0,62.0,855.0,342.0,950.8362573099415,60.912280701754376,224.21345029239757,145.30116959064327,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
97,12.0,65.0,322.0,7248.0,874.7068156732892,40.7760761589404,103.87844922737308,199.1425220750552,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
98,16.0,59.0,926.0,5229.0,685.3186077643909,415.7012813157392,118.84031363549437,166.19143239625168,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
99,6.0,62.0,12.0,1846.0,637.5108342361864,21.94691224268689,36.64355362946913,246.8759479956663,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
100,7.0,62.0,706.0,1692.0,1353.7724586288416,43.466903073286055,49.48345153664302,351.4775413711584,4,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)",4
101,4.0,67.0,776.0,2684.0,588.9646050670641,52.524217585692995,43.74478390461997,133.18256333830104,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
102,7.0,65.0,812.0,2291.0,1191.161501527717,47.591008293321686,39.88956787429071,371.6228721082497,4,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)",4
103,1.0,65.0,63.0,560.0,880.5053571428572,28.12142857142857,37.894642857142856,251.6517857142857,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
104,6.0,62.0,450.0,1992.0,435.15210843373495,35.92068273092369,35.32630522088353,24.295180722891565,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
105,5.0,69.0,936.0,1084.0,650.2712177121771,62.33763837638377,48.93081180811808,116.24723247232471,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
106,9.0,77.0,301.0,6568.0,890.2358404384897,77.01172350791718,252.72381242387334,115.81348964677223,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
107,2.0,66.0,993.0,464.0,1199.3577586206898,38.31896551724138,37.79741379310345,309.22413793103453,4,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)",4
109,2.0,68.0,215.0,509.0,1204.2298624754421,46.40864440078585,109.01768172888016,250.1650294695481,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
110,3.0,69.0,251.0,1104.0,1202.314311594203,43.94565217391305,49.46829710144928,261.58152173913044,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
111,6.0,70.0,563.0,2763.0,1308.2790445168296,43.53601158161419,35.87947882736157,309.8317046688382,4,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)",4
112,2.0,70.0,675.0,791.0,1256.424778761062,45.43742098609355,37.17193426042984,220.17446270543618,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
